index_x,Date,Close,index_y,Dividend,Adj Price
242,2020-12-14,314.379150390625,242,0.0,314.379150390625
243,2020-12-15,318.7239685058594,243,0.0,318.7239685058594
244,2020-12-16,319.2120056152344,244,0.0,319.2120056152344
245,2020-12-17,320.94805908203125,245,0.0,320.94805908203125
246,2020-12-18,319.6625061035156,246,0.0,319.6625061035156
247,2020-12-21,318.6770935058594,247,0.0,318.6770935058594
248,2020-12-22,318.04864501953125,248,1.383,319.43164501953123
249,2020-12-23,318.3030090332031,249,0.0,318.3030090332031
250,2020-12-24,319.5751037597656,250,0.0,319.5751037597656
251,2020-12-28,322.3547058105469,251,0.0,322.3547058105469
252,2020-12-29,321.6763000488281,252,0.0,321.6763000488281
253,2020-12-30,322.1097106933594,253,0.0,322.1097106933594
254,2020-12-31,323.8434753417969,254,0.0,323.8434753417969
255,2021-01-04,319.4525451660156,255,0.0,319.4525451660156
256,2021-01-05,321.55377197265625,256,0.0,321.55377197265625
257,2021-01-06,323.5042419433594,257,0.0,323.5042419433594
258,2021-01-07,328.3381042480469,258,0.0,328.3381042480469
259,2021-01-08,330.18487548828125,259,0.0,330.18487548828125
260,2021-01-11,328.0272216796875,260,0.0,328.0272216796875
261,2021-01-12,328.05535888671875,261,0.0,328.05535888671875
262,2021-01-13,328.8751220703125,262,0.0,328.8751220703125
263,2021-01-14,327.7632751464844,263,0.0,327.7632751464844
264,2021-01-15,325.4264831542969,264,0.0,325.4264831542969
265,2021-01-19,327.9989318847656,265,0.0,327.9989318847656
266,2021-01-20,332.4556884765625,266,0.0,332.4556884765625
267,2021-01-21,332.7665710449219,267,0.0,332.7665710449219
268,2021-01-22,331.579345703125,268,0.0,331.579345703125
269,2021-01-25,332.9268798828125,269,0.0,332.9268798828125
270,2021-01-26,332.4273986816406,270,0.0,332.4273986816406
271,2021-01-27,324.3617248535156,271,0.0,324.3617248535156
272,2021-01-28,327.0848693847656,272,0.0,327.0848693847656
273,2021-01-29,320.5361328125,273,0.0,320.5361328125
274,2021-02-01,325.8033752441406,274,0.0,325.8033752441406
275,2021-02-02,330.48638916015625,275,0.0,330.48638916015625
276,2021-02-03,330.816162109375,276,0.0,330.816162109375
277,2021-02-04,334.5192565917969,277,0.0,334.5192565917969
278,2021-02-05,335.8572998046875,278,0.0,335.8572998046875
279,2021-02-08,338.3354187011719,279,0.0,338.3354187011719
280,2021-02-09,338.06207275390625,280,0.0,338.06207275390625
281,2021-02-10,337.93017578125,281,0.0,337.93017578125
282,2021-02-11,338.47674560546875,282,0.0,338.47674560546875
283,2021-02-12,340.2010192871094,283,0.0,340.2010192871094
284,2021-02-16,339.880615234375,284,0.0,339.880615234375
285,2021-02-17,339.9560546875,285,0.0,339.9560546875
286,2021-02-18,338.5050354003906,286,0.0,338.5050354003906
287,2021-02-19,337.883056640625,287,0.0,337.883056640625
288,2021-02-22,335.22589111328125,288,0.0,335.22589111328125
289,2021-02-23,335.64990234375,289,0.0,335.64990234375
290,2021-02-24,339.3624267578125,290,0.0,339.3624267578125
291,2021-02-25,331.2213134765625,291,0.0,331.2213134765625
292,2021-02-26,329.4028015136719,292,0.0,329.4028015136719
293,2021-03-01,337.440185546875,293,0.0,337.440185546875
294,2021-03-02,334.8302001953125,294,0.0,334.8302001953125
295,2021-03-03,330.4110107421875,295,0.0,330.4110107421875
296,2021-03-04,326.34051513671875,296,0.0,326.34051513671875
297,2021-03-05,332.3237609863281,297,0.0,332.3237609863281
298,2021-03-08,330.69366455078125,298,0.0,330.69366455078125
299,2021-03-09,335.32012939453125,299,0.0,335.32012939453125
300,2021-03-10,337.3930969238281,300,0.0,337.3930969238281
301,2021-03-11,340.9548645019531,301,0.0,340.9548645019531
302,2021-03-12,341.4353332519531,302,0.0,341.4353332519531
303,2021-03-15,343.4140625,303,0.0,343.4140625
304,2021-03-16,343.02783203125,304,0.0,343.02783203125
305,2021-03-17,344.1490783691406,305,0.0,344.1490783691406
306,2021-03-18,339.08917236328125,306,0.0,339.08917236328125
307,2021-03-19,338.4861755371094,307,0.0,338.4861755371094
308,2021-03-22,341.162109375,308,0.0,341.162109375
309,2021-03-23,338.65570068359375,309,0.0,338.65570068359375
310,2021-03-24,336.7806396484375,310,0.0,336.7806396484375
311,2021-03-25,338.674560546875,311,0.0,338.674560546875
312,2021-03-26,344.1996154785156,312,1.263,345.4626154785156
313,2021-03-29,343.9915771484375,313,0.0,343.9915771484375
314,2021-03-30,343.11212158203125,314,0.0,343.11212158203125
315,2021-03-31,344.4737548828125,315,0.0,344.4737548828125
316,2021-04-01,348.123779296875,316,0.0,348.123779296875
317,2021-04-05,353.1446838378906,317,0.0,353.1446838378906
318,2021-04-06,352.9461669921875,318,0.0,352.9461669921875
319,2021-04-07,353.390625,319,0.0,353.390625
320,2021-04-08,355.111572265625,320,0.0,355.111572265625
321,2021-04-09,357.66461181640625,321,0.0,357.66461181640625
322,2021-04-12,357.8252868652344,322,0.0,357.8252868652344
323,2021-04-13,358.79931640625,323,0.0,358.79931640625
324,2021-04-14,357.64569091796875,324,0.0,357.64569091796875
325,2021-04-15,361.4847717285156,325,0.0,361.4847717285156
326,2021-04-16,362.7518310546875,326,0.0,362.7518310546875
327,2021-04-19,360.9646301269531,327,0.0,360.9646301269531
328,2021-04-20,358.3170471191406,328,0.0,358.3170471191406
329,2021-04-21,361.683349609375,329,0.0,361.683349609375
330,2021-04-22,358.3643493652344,330,0.0,358.3643493652344
331,2021-04-23,362.1844482421875,331,0.0,362.1844482421875
332,2021-04-26,362.96929931640625,332,0.0,362.96929931640625
333,2021-04-27,362.8558044433594,333,0.0,362.8558044433594
334,2021-04-28,362.68560791015625,334,0.0,362.68560791015625
335,2021-04-29,365.1063232421875,335,0.0,365.1063232421875
336,2021-04-30,362.695068359375,336,0.0,362.695068359375
337,2021-05-03,363.5177001953125,337,0.0,363.5177001953125
338,2021-05-04,361.3051452636719,338,0.0,361.3051452636719
339,2021-05-05,361.3713073730469,339,0.0,361.3713073730469
340,2021-05-06,364.3120422363281,340,0.0,364.3120422363281
341,2021-05-07,366.91241455078125,341,0.0,366.91241455078125
342,2021-05-10,363.3191223144531,342,0.0,363.3191223144531
343,2021-05-11,360.13250732421875,343,0.0,360.13250732421875
344,2021-05-12,352.4450378417969,344,0.0,352.4450378417969
345,2021-05-13,356.6338195800781,345,0.0,356.6338195800781
346,2021-05-14,362.1087951660156,346,0.0,362.1087951660156
347,2021-05-17,361.2389221191406,347,0.0,361.2389221191406
348,2021-05-18,358.1185607910156,348,0.0,358.1185607910156
349,2021-05-19,357.1729736328125,349,0.0,357.1729736328125
350,2021-05-20,360.98358154296875,350,0.0,360.98358154296875
351,2021-05-21,360.70941162109375,351,0.0,360.70941162109375
352,2021-05-24,364.3497619628906,352,0.0,364.3497619628906
353,2021-05-25,363.5838623046875,353,0.0,363.5838623046875
354,2021-05-26,364.2458190917969,354,0.0,364.2458190917969
355,2021-05-27,364.4065246582031,355,0.0,364.4065246582031
356,2021-05-28,365.11578369140625,356,0.0,365.11578369140625
357,2021-06-01,364.8320007324219,357,0.0,364.8320007324219
358,2021-06-02,365.4466857910156,358,0.0,365.4466857910156
359,2021-06-03,364.0567321777344,359,0.0,364.0567321777344
360,2021-06-04,367.3567810058594,360,0.0,367.3567810058594
361,2021-06-07,367.04473876953125,361,0.0,367.04473876953125
362,2021-06-08,367.10150146484375,362,0.0,367.10150146484375
363,2021-06-09,366.5246887207031,363,0.0,366.5246887207031
364,2021-06-10,368.21722412109375,364,0.0,368.21722412109375
365,2021-06-11,368.8602600097656,365,0.0,368.8602600097656
366,2021-06-14,369.7868957519531,366,0.0,369.7868957519531
367,2021-06-15,369.011474609375,367,0.0,369.011474609375
368,2021-06-16,366.988037109375,368,0.0,366.988037109375
369,2021-06-17,366.8555908203125,369,0.0,366.8555908203125
370,2021-06-18,361.9858703613281,370,0.0,361.9858703613281
371,2021-06-21,367.0541687011719,371,0.0,367.0541687011719
372,2021-06-22,369.0020751953125,372,0.0,369.0020751953125
